NAME,STNAME,LOCATION,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Birmingham,AL,"Birmingham, AL",218880,216505,214394,212237,211554,210775,211270,211179,211811,211512,211125
Fresno,CA,"Fresno, CA",477659,484443,490262,494665,501623,505554,508993,514052,517408,520305,523938
Long Beach,CA,"Long Beach, CA",460328,460643,461782,462257,464274,466526,468017,468785,469408,468484,466265
Los Angeles,CA,"Los Angeles, CA",3751872,3763566,3781938,3792621,3818812,3847857,3877721,3904102,3933644,3957520,3975067
Oakland,CA,"Oakland, CA",383500,386589,389613,390724,395416,400720,406609,412677,418539,421454,421938
Sacramento,CA,"Sacramento, CA",455316,459241,463458,466488,470788,473430,476645,481284,486741,492284,498386
San Bernardino,CA,"San Bernardino, CA",209084,208921,208691,209924,211791,212807,213377,213969,215095,216188,216818
San Diego,CA,"San Diego, CA",1266198,1282692,1295591,1307402,1319189,1335155,1352997,1372024,1387567,1400130,1409982
San Francisco,CA,"San Francisco, CA",778673,791152,801922,805235,815694,828963,839695,850918,863237,871343,877471
Stockton,CA,"Stockton, CA",285313,286507,288735,291707,295618,297463,297806,301281,304799,307650,310459
Denver,CO,"Denver, CO",564395,575721,589011,600158,620250,634965,649270,664540,683328,696273,704869
Washington,DC,"Washington, DC",574404,580236,592228,601723,620290,635737,651559,663603,677014,687576,697079
Jacksonville,FL,"Jacksonville, FL",807669,812430,817121,821784,829739,837248,843060,852907,866345,881502,893203
Miami,FL,"Miami, FL",386814,389996,394347,399457,406607,411149,415666,425097,434703,448789,455925
Tampa,FL,"Tampa, FL",332024,332173,333871,335709,342726,348253,355369,362895,371732,380843,391750
Atlanta,GA,"Atlanta, GA",410086,414233,417090,420003,437863,449118,454148,461358,468573,479590,492121
Savannah,GA,"Savannah, GA",133452,133651,135734,136286,140443,142377,142683,143991,145312,146053,146048
Chicago,IL,"Chicago, IL",2703991,2697359,2697006,2695598,2708067,2719039,2725575,2726800,2724006,2716297,2710456
Indianapolis,IN,"Indianapolis, IN",802751,808013,815982,820445,827721,835605,844868,850369,853983,859371,864110
Louisville,KY,"Louisville, KY",581388,587675,593419,597337,600002,604389,610672,612890,615679,617838,620183
Baton Rouge,LA,"Baton Rouge, LA",228814,228177,228986,229493,228527,228805,228284,227815,227191,226712,224441
New Orleans,LA,"New Orleans, LA",268751,301842,327803,343829,360822,369947,378863,384228,390094,392265,391819
Baltimore,MD,"Baltimore, MD",620306,620184,620509,620961,620493,623035,622591,623833,622831,616542,610853
Boston,MA,"Boston, MA",593136,600685,612669,617594,630620,643180,653312,663260,670982,680218,688239
Detroit,MI,"Detroit, MI",784998,756383,731155,713777,705202,700289,691986,682746,679562,677379,675031
Minneapolis,MN,"Minneapolis, MN",377575,379185,381638,382578,388096,392837,400189,407206,411210,415315,421177
St. Louis,MO,"St. Louis, MO",317959,317955,318842,319294,319417,319534,318624,317599,316268,312926,308424
Omaha,NE,"Omaha, NE",405904,406320,407985,408958,462181,465386,468249,470620,472880,475274,476579
Las Vegas,NV,"Las Vegas, NV",578302,584400,585381,583756,586682,593406,599739,608216,617820,626952,635746
Albuquerque,NM,"Albuquerque, NM",524090,531451,539215,545852,552105,555074,557547,557566,558086,559350,559796
New York,NY,"New York, NY",19132335,19212436,19307066,19378102,19499921,19574362,19626488,19653431,19657321,19636391,19593849
Buffalo,NY,"Buffalo, NY",268358,265732,263100,261310,260721,260183,260058,259604,258232,256911,256407
Charlotte,NC,"Charlotte, NC",691568,709993,724333,731424,754943,773506,792408,807875,826270,843989,861170
Durham,NC,"Durham, NC",215097,220897,226231,228330,236237,242062,247967,254304,259696,266595,270967
Cincinnati,OH,"Cincinnati, OH",301824,299145,298239,296943,296292,297031,298058,298809,299649,299978,301852
Columbus,OH,"Columbus, OH",760224,770530,780950,787033,800677,812872,827994,841931,855276,867384,882253
Oklahoma City,OK,"Oklahoma City, OK",554280,561926,572448,579999,591042,601040,612147,621673,632188,640010,642903
Tulsa,OK,"Tulsa, OK",385779,387130,390339,391906,392937,394616,398419,399945,403576,404086,402177
Philadelphia,PA,"Philadelphia, PA",1493309,1499731,1514694,1526006,1540615,1552087,1558713,1565949,1571679,1576604,1581699
Pittsburgh,PA,"Pittsburgh, PA",308999,307673,306570,305704,306117,306455,307006,306080,304224,304789,301606
Memphis,TN,"Memphis, TN",659816,653107,648051,646889,655434,658961,657386,655299,654469,653026,651398
Nashville,TN,"Nashville, TN",580162,587567,595682,601222,612689,625824,636375,645741,656089,662344,664220
Fort Worth,TX,"Fort Worth, TX",685762,706526,727257,741206,764124,781032,796050,815021,835305,855947,874297
Houston,TX,"Houston, TX",2044612,2060477,2087334,2099451,2123298,2158700,2196367,2238653,2283616,2306360,2313079
San Antonio,TX,"San Antonio, TX",1270187,1291232,1310266,1327407,1357807,1383810,1409091,1436214,1464839,1488500,1511566
Richmond,VA,"Richmond, VA",200201,202254,203678,204214,206487,210922,214020,217238,221084,225669,227620
Milwaukee,WI,"Milwaukee, WI",586445,587858,592180,594833,597132,598627,599997,600775,600607,597179,594154
